,省,市县,经度,纬度,编号
0,上海市,上海上海 经度,121.48,31.22,0
1,上海市,上海嘉定 经度,121.24,31.4,0
2,上海市,上海宝山 经度,121.48,31.41,0
3,上海市,上海川沙 经度,121.7,31.19,0
4,上海市,上海南汇 经度,121.76,31.05,0
5,上海市,上海奉贤 经度,121.46,30.92,0
6,上海市,上海松江 经度,121.24,31.0,0
7,上海市,上海金山 经度,121.16,30.89,0
8,上海市,上海青浦 经度,121.1,31.15,0
9,上海市,上海崇明 经度,121.4,31.73,0
10,云南省,云南昆明 经度,102.73,25.04,1
11,云南省,云南富民 经度,102.48,25.21,1
12,云南省,云南晋宁 经度,102.58,24.68,1
13,云南省,云南呈贡 经度,102.79,24.9,1
14,云南省,云南安宁 经度,102.44,24.95,1
15,云南省,云南昭通 经度,103.7,29.32,1
16,云南省,云南永善 经度,103.63,28.22,1
17,云南省,云南大关 经度,103.91,27.74,1
18,云南省,云南彝良 经度,104.06,27.61,1
19,云南省,云南鲁甸 经度,103.54,27.21,1
20,云南省,云南绥江 经度,103.97,28.58,1
21,云南省,云南盐津 经度,104.28,28.08,1
22,云南省,云南威信 经度,105.05,27.85,1
23,云南省,云南镇雄 经度,104.86,27.42,1
24,云南省,云南巧家 经度,102.92,26.9,1
25,云南省,云南永富 经度,104.38,28.62,1
26,云南省,云南曲靖 经度,103.79,25.51,1
27,云南省,云南宣威 经度,104.09,26.24,1
28,云南省,云南富源 经度,104.24,25.67,1
29,云南省,云南师宗 经度,103.97,24.85,1
30,云南省,云南嵩明 经度,103.03,25.35,1
31,云南省,云南会泽 经度,103.27,26.41,1
32,云南省,云南沽益 经度,103.82,25.62,1
33,云南省,云南罗平 经度,104.3,24.88,1
34,云南省,云南陆良 经度,104.64,25.04,1
35,云南省,云南宜良 经度,103.12,24.9,1
36,云南省,云南马龙 经度,103.61,25.41,1
37,云南省,云南路南 经度,103.24,24.77,1
38,云南省,云南寻甸 经度,103.25,25.56,1
39,云南省,云南玉溪 经度,102.52,24.35,1
40,云南省,云南华宁 经度,102.93,24.26,1
41,云南省,云南通海 经度,102.75,24.09,1
42,云南省,云南澄江 经度,102.91,24.68,1
43,云南省,云南江川 经度,102.73,24.27,1
44,云南省,云南易门 经度,102.15,24.67,1
45,云南省,云南元江 经度,102.0,23.59,1
46,云南省,云南新平 经度,101.98,24.06,1
47,云南省,云南峨山 经度,102.38,24.16,1
48,云南省,云南思茅 经度,101.0,22.79,1
49,云南省,云南普洱 经度,101.03,23.07,1
50,云南省,云南镇沅 经度,100.88,23.9,1
51,云南省,云南景东 经度,100.82,24.42,1
52,云南省,云南景谷 经度,100.71,23.5,1
53,云南省,云南黑江 经度,101.71,23.4,1
54,云南省,云南澜沦 经度,99.97,22.55,1
55,云南省,云南西盟 经度,99.47,22.73,1
56,云南省,云南江城 经度,101.88,22.58,1
57,云南省,云南孟连 经度,99.55,22.32,1
58,云南省,云南临沦 经度,100.09,23.88,1
59,云南省,云南云县 经度,100.12,24.44,1
60,云南省,云南镇康 经度,99.02,23.92,1
61,云南省,云南永德 经度,99.25,24.03,1
62,云南省,云南凤庆 经度,99.92,24.58,1
63,云南省,云南双江 经度,99.85,23.45,1
64,云南省,云南沧源 经度,99.24,23.15,1
65,云南省,云南耿马 经度,99.41,23.56,1
66,云南省,云南保由 经度,99.18,25.12,1
67,云南省,云南施甸 经度,99.15,24.69,1
68,云南省,云南腾冲 经度,98.51,25.01,1
69,云南省,云南昌宁 经度,99.61,24.82,1
70,云南省,云南龙陵 经度,98.7,24.58,1
71,云南省,云南丽江 经度,100.25,26.86,1
72,云南省,云南华坪 经度,101.24,26.63,1
73,云南省,云南永胜 经度,100.76,26.71,1
74,云南省,云南宁蒗 经度,100.82,27.29,1
75,云南省,云南文山 经度,104.24,23.37,1
76,云南省,云南广南 经度,105.09,24.05,1
77,云南省,云南西畴 经度,104.68,23.42,1
78,云南省,云南麻栗坡 经度,104.71,23.12,1
79,云南省,云南马关 经度,104.4,23.01,1
80,云南省,云南丘北 经度,104.19,24.03,1
81,云南省,云南砚山 经度,104.35,23.62,1
82,云南省,云南富宁 经度,105.6,23.62,1
83,云南省,云南个旧 经度,102.43,23.35,1
84,云南省,云南弥勒 经度,103.43,24.41,1
85,云南省,云南蒙自 经度,103.41,23.36,1
86,云南省,云南元阳 经度,102.81,23.17,1
87,云南省,云南红河 经度,102.42,23.35,1
88,云南省,云南石屏 经度,102.48,23.73,1
89,云南省,云南泸西 经度,103.76,24.52,1
90,云南省,云南金平 经度,103.24,22.77,1
91,云南省,云南开远 经度,103.23,23.7,1
92,云南省,云南绿春 经度,102.42,23.01,1
93,云南省,云南建水 经度,102.79,23.64,1
94,云南省,云南河口 经度,103.98,22.52,1
95,云南省,云南屏边 经度,103.67,22.68,1
96,云南省,云南景淇 经度,100.79,22.0,1
97,云南省,云南勐海 经度,100.5,21.95,1
98,云南省,云南勐腊 经度,101.56,21.48,1
99,云南省,云南楚雄 经度,101.54,25.01,1
100,云南省,云南元谋 经度,101.85,25.7,1
101,云南省,云南武定 经度,102.36,25.55,1
102,云南省,云南禄丰 经度,102.08,25.15,1
103,云南省,云南南华 经度,101.26,25.21,1
104,云南省,云南大姚 经度,101.34,25.73,1
105,云南省,云南永仁 经度,101.7,26.07,1
106,云南省,云南禄劝 经度,102.45,25.58,1
107,云南省,云南牟定 经度,101.58,25.32,1
108,云南省,云南双柏 经度,101.67,24.68,1
109,云南省,云南姚安 经度,101.24,25.4,1
110,云南省,云南下关 经度,100.24,25.45,1
111,云南省,云南剑川 经度,99.88,26.53,1
112,云南省,云南洱源 经度,99.94,26.1,1
113,云南省,云南宾川 经度,100.55,25.82,1
114,云南省,云南弥渡 经度,100.52,25.34,1
115,云南省,云南永平 经度,99.52,25.45,1
116,云南省,云南鹤庆 经度,100.18,26.55,1
117,云南省,云南大理 经度,100.19,25.69,1
118,云南省,云南漾濞 经度,99.98,25.68,1
119,云南省,云南云龙 经度,99.39,25.9,1
120,云南省,云南祥云 经度,100.56,25.48,1
121,云南省,云南巍山 经度,100.33,25.23,1
122,云南省,云南南涧 经度,100.51,25.04,1
123,云南省,云南潞西 经度,98.6,24.41,1
124,云南省,云南陇川 经度,97.96,24.33,1
125,云南省,云南盈江 经度,97.93,24.69,1
126,云南省,云南畹町 经度,98.08,24.08,1
127,云南省,云南瑞丽 经度,97.83,24.0,1
128,云南省,云南梁河 经度,98.3,24.78,1
129,云南省,云南泸水 经度,98.82,25.97,1
130,云南省,云南碧江 经度,98.95,26.55,1
131,云南省,云南福贡 经度,98.92,26.89,1
132,云南省,云南兰坪 经度,99.29,26.49,1
133,云南省,云南贡山 经度,98.65,27.73,1
134,云南省,云南中甸 经度,99.72,27.78,1
135,云南省,云南德钦 经度,98.93,28.49,1
136,云南省,云南维西 经度,99.27,27.15,1
137,其它岛屿省,其它岛屿钓鱼岛 经度,123.33,25.0,2
138,其它岛屿省,其它岛屿黄岩岛 经度,117.51,15.07,2
139,内蒙古省,内蒙古呼和浩特 经度,111.65,40.82,3
140,内蒙古省,内蒙古上默特左旗 经度,111.13,40.72,3
141,内蒙古省,内蒙古托克托 经度,111.15,40.28,3
142,内蒙古省,内蒙古包头 经度,110.0,40.58,3
143,内蒙古省,内蒙古上默特右旗 经度,110.52,40.55,3
144,内蒙古省,内蒙古固阳 经度,110.03,41.03,3
145,内蒙古省,内蒙古乌海 经度,106.82,39.67,3
146,内蒙古省,内蒙古集宁 经度,113.08,41.03,3
147,内蒙古省,内蒙古兴和 经度,113.97,40.88,3
148,内蒙古省,内蒙古清水河 经度,111.65,39.92,3
149,内蒙古省,内蒙古武川 经度,111.42,41.12,3
150,内蒙古省,内蒙古卓资 经度,112.52,40.93,3
151,内蒙古省,内蒙古商都 经度,113.53,41.58,3
152,内蒙古省,内蒙古丰镇 经度,113.15,40.45,3
153,内蒙古省,内蒙古凉城 经度,112.48,40.52,3
154,内蒙古省,内蒙古和林格尔 经度,111.8,40.4,3
155,内蒙古省,内蒙古化德 经度,114.0,41.9,3
156,内蒙古省,内蒙古四子王旗 经度,111.68,41.37,3
157,内蒙古省,内蒙古二连浩特 经度,111.96,43.65,3
158,内蒙古省,内蒙古阿巴哈纳尔旗 经度,116.08,43.95,3
159,内蒙古省,内蒙古多伦 经度,116.48,42.18,3
160,内蒙古省,内蒙古阿巴嘎旗 经度,114.97,44.03,3
161,内蒙古省,内蒙古西乌珠穆沁旗 经度,117.58,44.6,3
162,内蒙古省,内蒙古东乌珠穆沁旗 经度,116.97,45.53,3
163,内蒙古省,内蒙古苏尼特左旗 经度,113.7,43.85,3
164,内蒙古省,内蒙古苏尼特右旗 经度,112.95,42.47,3
165,内蒙古省,内蒙古太仆寺旗 经度,115.3,41.9,3
166,内蒙古省,内蒙古正镶白旗 经度,115.0,42.32,3
167,内蒙古省,内蒙古正蓝旗 经度,116.02,42.25,3
168,内蒙古省,内蒙古镶黄旗 经度,113.83,42.25,3
169,内蒙古省,内蒙古海拉尔 经度,119.73,29.22,3
170,内蒙古省,内蒙古满洲里 经度,117.47,49.58,3
