姓名,身高,体重
陈思键,181,50
连淮伟,178,60
管栎,175,55
嘉羿,182,62
邓超元,187,65
李汶翰,180,64
何昶希,183,65
夏瀚宇,180,58
陈宥维,187,70
丁飞俊,180,63
蒙恩,185,68
冯俊杰,178,63
王喆,184,63
李宗霖,176,63
胡春杨,178,59
胡文煊,184,63
李振宁,178,60
周士原,183,65
姚弛,185,70
刘宇航,175,62
林陌,180,62
师铭泽,188,70
陈涛,183,58
徐炳超,188,70
沈群丰,186,68
邵浩帆,175,59
石锌,181,61
谷蓝帝,184,65
杨亘,183,69
徐方舟,183,60
吴承泽,189,75
姚明明,182,65
王加一,178,53.5
施展,183,63
林渝植,180,62
安东尼,179,57
李由,178,62
陈佑,186,75
陈雨浓,174,62
崔少鹏,180,62
丹尼尔,188,76
邓滨,180,71.3
周川珺,188,72
叶子铭,179,61
段旭宇,182,60
王奕,174,62.5
胡家豪,185,65
黄宏轩,183,68
金永先,172,60
靳凡,176,60
寇聪,180,66
李皇逸,177,67
卓沅,177,64
林敏生,175,62
楼炅择,175,52
卢俊杰,188,68
曼尼,167,66
区天瑞,183,62
齐浩然,181,61
邱薄翰,180,65
邵奇明,182,66
沈博怀,184,62
漆志豪,177,59
彭昶桦,176,62
圳南,180,58
苏宇航,175,58
孙泽霖,180,60
田岛,183,69
王新宇,177,60
文邺辰,183,64
林哲宇,182,73
吴飞,184,75
杨朝阳,177,54
温凯崴,184,64
杨宁,185,66
姚博岚,185,57
殷实,183,65
展羽,182,65
伯远,177,65
车慧轩,178,62
陈柏凯,178,60
李晨阳,178,60
傅弘奕,183,66
高晓松,180,60
柯钦明,175,52.5
李炼,181,65
于凌傲,180,60
周湘恒,180,62
唐书亚,181,65
冯天豪,176,60
吴铭,176,50
吴泽林,184,68
谢俊泽,175,50
许珑瀚,186,60
叶河林,175,50
赵天戈,183,66
卡斯柏（退赛）,178,68
姜圣民（退赛）,180,66
邓泽鸣（退赛）,184,60
李之繁（退赛）,180,63
