位置,编号,姓名,身高,身高米,体重磅,体重kg,出生日期 (年–月–日),来自
前锋,7,杰伦·布朗,6英尺7英寸,2.01,225磅,102,1996–10–24,加州大学柏克莱分校
后卫,4,科尔森·爱德华,6英尺1英寸,1.85,200磅,91,1998–03–21,普渡大学
中锋,99,塔科·法尔 (TW),7英尺7英寸,2.31,289磅,131,1995–12–10,中佛罗里达大学
后卫,43,雅沃特·格林,6英尺4英寸,1.93,205磅,93,1993–07–23,里德福大学
摇摆人,20,戈登·海沃德,6英尺8英寸,2.03,226磅,103,1990–03–23,巴特勒大学
中锋,11,埃內斯·坎特,6英尺11英寸,2.11,245磅,111,1992–05–20,[[费内巴切]]
后卫,45,罗梅奥·朗福德,6英尺6英寸,1.98,215磅,98,1999–10–25,印第安那大学
前锋,37,谢米·奥杰莱,6英尺7英寸,2.01,235磅,107,1994–12–05,南方卫理公会大学
中锋,77,文森特·波里尔,7英尺0英寸,2.13,235磅,107,1993–10–27,法国
后卫,36,马库斯·史马特,6英尺4英寸,1.93,220磅,100,1994–03–06,奥克拉荷马州立大学
前锋,0,贾森·塔图姆,6英尺8英寸,2.03,205磅,93,1998–03–03,杜克大学
中/前锋,27,丹尼尔·泰斯,6英尺9英寸,2.06,240磅,109,1992–04–04,[[布罗斯班贝格]]
后卫,8,肯巴·沃克,6英尺1英寸,1.85,184磅,83,1990–05–08,康乃狄克大学
后卫,9,布拉德·沃纳梅克,6英尺4英寸,1.93,209磅,95,1989–07–25,匹兹堡大学
后卫,51,特里蒙·沃特斯 (TW),5英尺11英寸,1.8,172磅,78,1998–01–10,路易斯安那州立大学
前锋,12,格兰特·威廉姆斯,6英尺7英寸,2.01,240磅,109,1998–11–30,田纳西大学
前锋,44,罗伯特·威廉姆斯,6英尺10英寸,2.08,241磅,109,1997–10–17,德州农工大学
中锋,31,贾赖特·艾伦,6英尺11英寸,2.11,237磅,108,1998–04–21,德州大学奥斯汀分校
小前锋,7,凯文·杜兰特 Injured,6英尺8英寸,2.03,215磅,98,1988–09–29,德州大学奥斯汀分校
中/前锋,33,尼可拉斯·克拉斯顿,6英尺11英寸,2.11,215磅,98,1999–04–17,乔治亚大学
后卫,26,史宾赛·丁威迪,6英尺6英寸,1.98,210磅,95,1993–04–06,科罗拉多大学
后卫,8,杰莱米亚·马丁,6英尺2英寸,1.88,185磅,84,1996–06–19,曼菲斯大学
中锋,6,德安德鲁·乔丹,6英尺8英寸,2.03,227磅,103,1988–07–21,德州农工大学*
后卫,12,乔·哈里斯,6英尺6英寸,1.98,219磅,99,1991–09–07,弗吉尼亚大学
前锋,0,罗迪昂斯·库鲁斯,6英尺9英寸,2.06,210磅,95,1998–02–05,[[里加VEF]]
摇摆人,22,卡里斯·勒弗特,6英尺7英寸,2.01,203磅,92,1994–08–25,密歇根大学
摇摆人,13,札南·穆萨,6英尺9英寸,2.06,208磅,94,1999–05–08,[[萨格勒布切德维塔]]
摇摆人,1,西奥·皮森 (TW),6英尺6英寸,1.98,218磅,99,1995–11–05,北卡罗来纳大学教堂山分校
得分后卫,11,科尔·欧文 Injured,6英尺5英寸,1.96,195磅,88,1992–03–23,杜克大学
前锋,2,塔里安·普林斯,6英尺7英寸,2.01,218磅,99,1994–03–22,贝勒大学
后卫,9,克里斯·齐欧萨 (TW),5英尺11英寸,1.8,175磅,79,1995–11–21,佛罗里达大学
摇摆人,9,提莫西·卢瓦伍-卡巴洛,6英尺7英寸,2.01,220磅,100,1995–05–09,[[塞尔维亚超级篮球]]
